File,Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-o Electronic Energy (Hartree),APG1roSD_sen-o Total Energy (Hartree),Counter
database/p4_a20_alpha5.0/sto-6g/APG1roSD_sen-o/0/results.out,5.0,1.7713906763541036,-3.943838642358131,-2.1724479660040275,37
database/p4_a20_alpha1.9/sto-6g/APG1roSD_sen-o/0/results.out,1.9,2.7776310125417822,-4.723669276833506,-1.9460382642917233,25
database/p4_a20_alpha2.0/sto-6g/APG1roSD_sen-o/0/results.out,2.0,2.7071067811865475,-4.657062543415438,-1.9499557622288903,39
database/p4_a20_alpha3.0/sto-6g/APG1roSD_sen-o/0/results.out,3.0,2.221366862891896,-4.337145686600166,-2.1157788237082698,22
database/p4_a20_alpha1.99/sto-6g/APG1roSD_sen-o/0/results.out,1.99,2.713901877907042,-4.663066566236791,-1.9491646883297493,32
database/p4_a20_alpha1.4/sto-6g/APG1roSD_sen-o/0/results.out,1.4,3.247803349090469,-5.270367414586088,-2.022564065495619,25
database/p4_a20_alpha2.02/sto-6g/APG1roSD_sen-o/0/results.out,2.02,2.6936791394970707,-4.645449250219245,-1.9517701107221739,22
database/p4_a20_alpha2.05/sto-6g/APG1roSD_sen-o/0/results.out,2.05,2.6739336081728884,-4.628979411626738,-1.9550458034538498,33
database/p4_a20_alpha10.0/sto-6g/APG1roSD_sen-o/0/results.out,10.0,1.3961161351381841,-3.5693885178732496,-2.1732723827350657,23
database/p4_a20_alpha1.15/sto-6g/APG1roSD_sen-o/0/results.out,1.15,3.606036737840144,-5.614554926991927,-2.0085181891517827,32
database/p4_a20_alpha1.98/sto-6g/APG1roSD_sen-o/0/results.out,1.98,2.720752119111218,-4.669206144163626,-1.948454025052408,29
database/p4_a20_alpha1.1428/sto-6g/APG1roSD_sen-o/0/results.out,1.1428,3.6183413324992433,-5.6250170026046655,-2.0066756701054222,31
database/p4_a20_alpha1.2/sto-6g/APG1roSD_sen-o/0/results.out,1.2,3.524159592379211,-5.542724876299929,-2.018565283920718,28
database/p4_a20_alpha1.8/sto-6g/APG1roSD_sen-o/0/results.out,1.8,2.8544052573582777,-4.8083783215791485,-1.9539730642208708,32
database/p4_a20_alpha1.95/sto-6g/APG1roSD_sen-o/0/results.out,1.95,2.7416411652610666,-4.688473326610308,-1.9468321613492412,31
database/p4_a20_alpha1.3/sto-6g/APG1roSD_sen-o/0/results.out,1.3,3.3769051547621753,-5.403492303652362,-2.0265871488901865,33
database/p4_a20_alpha2.5/sto-6g/APG1roSD_sen-o/0/results.out,2.5,2.424695047554424,-4.455912031513101,-2.031216983958677,27
database/p4_a20_alpha2.2/sto-6g/APG1roSD_sen-o/0/results.out,2.2,2.5817637030872214,-4.5620881520649235,-1.980324448977702,30
database/p4_a20_alpha1.6/sto-6g/APG1roSD_sen-o/0/results.out,1.6,3.03086880944303,-5.02363189859694,-1.99276308915391,24
database/p4_a20_alpha2.01/sto-6g/APG1roSD_sen-o/0/results.out,2.01,2.7003661050436962,-4.651191001193722,-1.950824896150026,28
database/p4_a20_alpha1.145/sto-6g/APG1roSD_sen-o/0/results.out,1.145,3.614567207401356,-5.621817122439399,-2.007249915038043,34
database/p4_a20_alpha2.1/sto-6g/APG1roSD_sen-o/0/results.out,2.1,2.6420361247947453,-4.603927674612124,-1.9618915498173788,33
database/p4_a20_alpha4.0/sto-6g/APG1roSD_sen-o/0/results.out,4.0,1.9472135954999579,-4.106498783730815,-2.159285188230857,23
database/p4_a20_alpha7.0/sto-6g/APG1roSD_sen-o/0/results.out,7.0,1.5604354136116636,-3.7340621357747863,-2.1736267221631227,31
