Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
1.1428,3.618341332,-5.63076211,-2.012420778
1.145,3.614567207,-5.627576714,-2.013009506
1.15,3.606036738,-5.620347596,-2.014310858
1.2,3.524159592,-5.548857785,-2.024698192
1.3,3.376905155,-5.410358734,-2.033453579
1.4,3.247803349,-5.278036443,-2.030233094
1.6,3.030868809,-5.033026658,-2.002157849
1.8,2.854405257,-4.818711162,-1.964305905
1.9,2.777631013,-4.728263819,-1.950632807
1.95,2.741641165,-4.690092503,-1.948451337
1.98,2.720752119,-4.670081333,-1.949329214
1.99,2.713901878,-4.663785633,-1.949883755
2,2.707106781,-4.65765822,-1.950551439
2.01,2.700366105,-4.651931224,-1.951565119
2.02,2.693679139,-4.646371312,-1.952692172
2.05,2.673933608,-4.630741905,-1.956808296
2.1,2.642036125,-4.608674621,-1.966638496
2.2,2.581763703,-4.572988535,-1.991224832
2.5,2.424695048,-4.485112152,-2.060417104
3,2.221366863,-4.352528935,-2.131162072
4,1.947213595,-4.127542664,-2.180329069
5,1.771390676,-3.961478845,-2.190088168
7,1.560435414,-3.752520535,-2.192085122
10,1.396116135,-3.588255567,-2.192139432
