Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
1.1428,3.618341332,-5.609963084,-1.991621752
1.145,3.614567207,-5.606711762,-1.992144555
1.15,3.606036738,-5.599347396,-1.993310658
1.2,3.524159592,-5.526402147,-2.002242554
1.3,3.376905155,-5.384664919,-2.007759764
1.4,3.247803349,-5.248572615,-2.000769266
1.6,3.030868809,-4.993741259,-1.962872449
1.8,2.854405257,-4.764076228,-1.909670971
1.9,2.777631013,-4.662874,-1.885242987
1.95,2.741641165,-4.619229042,-1.877587877
1.98,2.720752119,-4.596764816,-1.876012697
1.99,2.713901878,-4.590018532,-1.876116654
2,2.707106781,-4.583652826,-1.876546045
2.01,2.700366105,-4.577663063,-1.877296958
2.02,2.693679139,-4.572043178,-1.878364038
2.05,2.673933608,-4.557160374,-1.883226766
2.1,2.642036125,-4.537288764,-1.895252639
2.2,2.581763703,-4.50619279,-1.924429087
2.5,2.424695048,-4.425879223,-2.001184175
3,2.221366863,-4.297077302,-2.075710439
4,1.947213595,-4.073337532,-2.126123936
5,1.771390676,-3.906749905,-2.135359229
7,1.560435414,-3.696520992,-2.136085578
10,1.396116135,-3.53122711,-2.135110975
