Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
1.1428,3.618341332,-5.593482424,-1.975141091
1.145,3.614567207,-5.590191084,-1.975623877
1.15,3.606036738,-5.582719943,-1.976683205
1.2,3.524159592,-5.508714792,-1.9845552
1.3,3.376905155,-5.364611664,-1.987706509
1.4,3.247803349,-5.225772575,-1.977969226
1.6,3.030868809,-4.963791488,-1.932922679
1.8,2.854405257,-4.722145613,-1.867740356
1.9,2.777631013,-4.608638447,-1.831007435
1.95,2.741641165,-4.553652042,-1.812010877
1.98,2.720752119,-4.521215155,-1.800463036
1.99,2.713901878,-4.51049447,-1.796592592
2,2.707106781,-4.499819343,-1.792712562
2.01,2.700366105,-4.497864196,-1.797498091
2.02,2.693679139,-4.495891091,-1.802211952
2.05,2.673933608,-4.489868414,-1.815934806
2.1,2.642036125,-4.479511266,-1.837475142
2.2,2.581763703,-4.457773545,-1.876009842
2.5,2.424695048,-4.38722184,-1.962526792
3,2.221366863,-4.264740625,-2.043373763
4,1.947213595,-4.046282565,-2.099068969
5,1.771390676,-3.881765816,-2.11037514
7,1.560435414,-3.673211935,-2.112776522
10,1.396116135,-3.508970311,-2.112854176
