Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0.5,10.82842712,-7.274251962,3.554175162
1,5.414213562,-6.266164306,-0.851950744
1.5,3.609475708,-5.348892779,-1.739417071
2,2.707106781,-4.65706222,-1.949955439
2.5,2.165685425,-4.14258617,-1.976900745
3,1.804737854,-3.757771223,-1.953033369
3.5,1.546918161,-3.470649238,-1.923731077
4,1.353553391,-3.237076764,-1.883523373
4.5,1.203158569,-3.086911321,-1.883752751
5,1.082842712,-2.970399429,-1.887556717
6,0.902368927,-2.786486968,-1.884118041
7,0.77345908,-2.657592289,-1.884133208
