Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-v Electronic Energy (Hartree),AP1roGSDGeneralized_sen-v Total Energy (Hartree)
0.5,10.82842712,-7.274250906,3.554176219
1,5.414213562,-6.26696302,-0.852749458
1.5,3.609475708,-5.348898209,-1.7394225
2,2.707106781,-4.657621151,-1.95051437
2.5,2.165685425,-4.143809435,-1.97812401
3,1.804737854,-3.758823397,-1.954085543
3.5,1.546918161,-3.471119347,-1.924201186
4,1.353553391,-3.257068997,-1.903515607
4.5,1.203158569,-3.095708913,-1.892550344
5,1.082842712,-2.966811835,-1.883969123
6,0.902368927,-2.786487625,-1.884118698
7,0.77345908,-2.625128449,-1.851669369
