Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0.5,10.82842712,-7.267660579,3.560766546
1,5.414213562,-6.264038298,-0.849824736
1.5,3.609475708,-5.337127433,-1.727651725
2,2.707106781,-4.636562101,-1.92945532
2.5,2.165685425,-4.116891371,-1.951205946
3,1.804737854,-3.7332572,-1.928519346
3.5,1.546918161,-3.453114064,-1.906195903
4,1.353553391,-3.230977294,-1.877423904
4.5,1.203158569,-3.084416861,-1.881258291
5,1.082842712,-2.965804685,-1.882961972
6,0.902368927,-2.786340346,-1.883971419
7,0.77345908,-2.625250118,-1.851791038
