Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0.5,10.82842712,-7.274241145,3.55418598
1,5.414213562,-6.270341052,-0.85612749
1.5,3.609475708,-5.348893587,-1.739417879
2,2.707106781,-4.657062545,-1.949955763
2.5,2.165685425,-4.142586327,-1.976900902
3,1.804737854,-3.757772153,-1.953034299
3.5,1.546918161,-3.470649351,-1.923731191
4,1.353553391,-3.256942203,-1.903388812
4.5,1.203158569,-3.095683912,-1.892525343
5,1.082842712,-2.970399558,-1.887556845
6,0.902368927,-2.787028665,-1.884659738
7,0.77345908,-2.657590299,-1.884131218
