Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-v Electronic Energy (Hartree),APG1roSD_sen-v Total Energy (Hartree)
0.5,10.82842712,-7.274251424,3.554175701
1,5.414213562,-6.266974567,-0.852761004
1.5,3.609475708,-5.348917387,-1.739441679
2,2.707106781,-4.657657356,-1.950550575
2.5,2.165685425,-4.143958131,-1.978272706
3,1.804737854,-3.759235873,-1.954498019
3.5,1.546918161,-3.471683998,-1.924765837
4,1.353553391,-3.257549141,-1.903995751
4.5,1.203158569,-3.095976254,-1.892817684
5,1.082842712,-2.970525306,-1.887682593
6,0.902368927,-2.787047358,-1.884678431
7,0.77345908,-2.657577165,-1.884118084
