Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGD Electronic Energy (Hartree),APset1roGD Total Energy (Hartree)
0.5,10.82842712,-7.175968321,3.652458803
1,5.414213562,-6.215485342,-0.80127178
1.5,3.609475708,-5.293826568,-1.68435086
2,2.707106781,-4.583652065,-1.876545283
2.5,2.165685425,-4.040259103,-1.874573678
3,1.804737854,-3.61643534,-1.811697486
3.5,1.546918161,-3.282788999,-1.735870838
4,1.353553391,-3.016773552,-1.663220161
4.5,1.203158569,-2.832740682,-1.629582113
5,1.082842712,-2.692007484,-1.609164772
6,0.902368927,-2.489628198,-1.587259271
7,0.77345908,-2.590865859,-1.817406778
