Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0.5,10.82842712,-7.271155477,3.557271648
1,5.414213562,-6.264039303,-0.849825741
1.5,3.609475708,-5.33712736,-1.727651652
2,2.707106781,-4.636562253,-1.929455472
2.5,2.165685425,-4.116891884,-1.951206459
3,1.804737854,-3.733258149,-1.928520295
3.5,1.546918161,-3.453114052,-1.906195891
4,1.353553391,-3.230978315,-1.877424925
4.5,1.203158569,-3.084416726,-1.881258156
5,1.082842712,-2.965804672,-1.882961959
6,0.902368927,-2.786341451,-1.883972524
7,0.77345908,-2.644756871,-1.871297791
