Alpha (Bohr),Nuclear Repulsion Energy (Hartree),FCI Electronic Energy (Hartree),FCI Total Energy (Hartree)
0.5,10.82842712,-7.274252132,3.554174992
1,5.414213562,-6.276992909,-0.862779346
1.5,3.609475708,-5.349992063,-1.740516355
2,2.707106781,-4.663482159,-1.956375378
2.5,2.165685425,-4.151526727,-1.985841302
3,1.804737854,-3.766148339,-1.961410484
3.5,1.546918161,-3.476649171,-1.929731011
4,1.353553391,-3.26034966,-1.906796269
4.5,1.203158569,-3.097306731,-1.894148162
5,1.082842712,-2.971090629,-1.888247916
6,0.902368927,-2.78713463,-1.884765703
7,0.77345908,-2.65769603,-1.88423695
