Alpha (Bohr),Nuclear Repulsion Energy (Hartree),pCCD Electronic Energy (Hartree),pCCD Total Energy (Hartree)
0.5,10.82842712,-7.175930547,3.652496578
1,5.414213562,-6.215484139,-0.801270577
1.5,3.609475708,-5.29382492,-1.684349212
2,2.707106781,-4.583653287,-1.876546505
2.5,2.165685425,-4.04025903,-1.874573605
3,1.804737854,-3.616434542,-1.811696688
3.5,1.546918161,-3.282788181,-1.73587002
4,1.353553391,-3.016774068,-1.663220677
4.5,1.203158569,-2.832739757,-1.629581188
5,1.082842712,-2.691275861,-1.608433148
6,0.902368927,-2.486985466,-1.584616539
7,0.77345908,-2.59111832,-1.81765924
