Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0.5,10.82842712,-7.274249866,3.554177259
1,5.414213562,-6.266163243,-0.851949681
1.5,3.609475708,-5.348893428,-1.73941772
2,2.707106781,-4.657062357,-1.949955576
2.5,2.165685425,-4.142586143,-1.976900718
3,1.804737854,-3.757771992,-1.953034138
3.5,1.546918161,-3.470648685,-1.923730524
4,1.353553391,-3.237077092,-1.883523701
4.5,1.203158569,-3.095683194,-1.892524624
5,1.082842712,-2.96679626,-1.883953548
6,0.902368927,-2.787028354,-1.884659427
7,0.77345908,-2.65759004,-1.88413096
