Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0.5,10.82842712,-7.268444874,3.55998225
1,5.414213562,-6.264038033,-0.849824471
1.5,3.609475708,-5.337126991,-1.727651283
2,2.707106781,-4.636562225,-1.929455444
2.5,2.165685425,-4.11689157,-1.951206145
3,1.804737854,-3.733257679,-1.928519825
3.5,1.546918161,-3.453113632,-1.906195472
4,1.353553391,-3.247216123,-1.893662733
4.5,1.203158569,-3.084416971,-1.881258402
5,1.082842712,-2.968492516,-1.885649803
6,0.902368927,-2.786738114,-1.884369187
7,0.77345908,-2.625244779,-1.851785699
