Alpha (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
0.5,10.82842712,-7.271491977,3.556935148
1,5.414213562,-6.264039001,-0.849825438
1.5,3.609475708,-5.337126935,-1.727651227
2,2.707106781,-4.636562013,-1.929455232
2.5,2.165685425,-4.116891262,-1.951205837
3,1.804737854,-3.733257751,-1.928519897
3.5,1.546918161,-3.453114018,-1.906195857
4,1.353553391,-3.230978184,-1.877424794
4.5,1.203158569,-3.084415756,-1.881257186
5,1.082842712,-2.965802821,-1.882960109
6,0.902368927,-2.786737952,-1.884369025
7,0.77345908,-2.625371074,-1.851911993
