Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD Total Energy (Hartree)
0.5,10.82842712,-7.175910946,3.652516178
1,5.414213562,-6.215482799,-0.801269237
1.5,3.609475708,-5.293824248,-1.68434854
2,2.707106781,-4.583654188,-1.876547407
2.5,2.165685425,-4.040258241,-1.874572816
3,1.804737854,-3.616434886,-1.811697031
3.5,1.546918161,-3.282788516,-1.735870355
4,1.353553391,-3.022056091,-1.668502701
4.5,1.203158569,-2.835941238,-1.632782668
5,1.082842712,-2.696736494,-1.613893781
6,0.902368927,-2.493333987,-1.59096506
7,0.77345908,-2.591613626,-1.818154546
