Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_free Electronic Energy (Hartree),APset1roGSD_free Total Energy (Hartree)
0.5,10.82842712,-7.268717077,3.559710048
1,5.414213562,-6.264039246,-0.849825683
1.5,3.609475708,-5.337127494,-1.727651786
2,2.707106781,-4.636562398,-1.929455617
2.5,2.165685425,-4.116892015,-1.95120659
3,1.804737854,-3.733258279,-1.928520425
3.5,1.546918161,-3.453114138,-1.906195978
4,1.353553391,-3.230978709,-1.877425319
4.5,1.203158569,-3.091152112,-1.887993543
5,1.082842712,-2.965804864,-1.882962152
6,0.902368927,-2.786738727,-1.8843698
7,0.77345908,-2.65759014,-1.88413106
