Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-o Electronic Energy (Hartree),APset1roGSD_sen-o Total Energy (Hartree)
0.5,10.82842712,-7.268776161,3.559650963
1,5.414213562,-6.264039244,-0.849825682
1.5,3.609475708,-5.337127525,-1.727651816
2,2.707106781,-4.63656242,-1.929455638
2.5,2.165685425,-4.116891985,-1.95120656
3,1.804737854,-3.733258276,-1.928520422
3.5,1.546918161,-3.45311414,-1.906195979
4,1.353553391,-3.230978707,-1.877425317
4.5,1.203158569,-3.084417008,-1.881258439
5,1.082842712,-2.965804864,-1.882962152
6,0.902368927,-2.786341534,-1.883972607
7,0.77345908,-2.657590199,-1.884131119
