Alpha (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-ov Electronic Energy (Hartree),APset1roGSD_sen-ov Total Energy (Hartree)
0.5,10.82842712,-7.271412408,3.557014717
1,5.414213562,-6.264038947,-0.849825385
1.5,3.609475708,-5.337127064,-1.727651356
2,2.707106781,-4.636562211,-1.929455429
2.5,2.165685425,-4.116891924,-1.951206499
3,1.804737854,-3.733258203,-1.928520349
3.5,1.546918161,-3.453113415,-1.906195254
4,1.353553391,-3.230978396,-1.877425006
4.5,1.203158569,-3.084416954,-1.881258385
5,1.082842712,-2.968493042,-1.88565033
6,0.902368927,-2.786341236,-1.883972309
7,0.77345908,-2.644805003,-1.871345923
