Alpha (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0.5,10.82842712,-7.142168019,3.686259105
1,5.414213562,-6.156342929,-0.742129367
1.5,3.609475708,-5.222313421,-1.612837712
2,2.707106781,-4.499819343,-1.792712562
2.5,2.165685425,-3.943627961,-1.777942536
3,1.804737854,-3.505763873,-1.701026019
3.5,1.546918161,-3.155715096,-1.608796935
4,1.353553391,-2.874850507,-1.521297116
4.5,1.203158569,-2.65011789,-1.446959321
5,1.082842712,-2.470741178,-1.387898465
6,0.902368927,-2.21151887,-1.309149943
7,0.77345908,-1.993851968,-1.220392888
