Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_free Electronic Energy (Hartree),AP1roGSDGeneralized_free Total Energy (Hartree)
0.5,22.79468245,-23.7970925,-1.002410054
0.6,18.99556871,-21.54425394,-2.548685229
0.7,16.28191604,-19.63412137,-3.352205333
0.8,14.24667653,-18.00118296,-3.754506427
0.9,12.66371247,-16.62310861,-3.95939614
1,11.39734123,-15.43729064,-4.039949412
1.1,10.3612193,-14.39802164,-4.036802344
1.2,9.497784355,-13.52993802,-4.032153666
1.3,8.767185558,-12.71724541,-3.950059852
1.4,8.140958018,-12.03345089,-3.892492876
1.5,7.598227484,-11.49595921,-3.897731727
1.6,7.123338266,-10.91309965,-3.789761384
1.7,6.704318368,-10.47808031,-3.773761941
1.8,6.331856236,-10.05275861,-3.72090237
1.9,5.998600645,-9.723474315,-3.72487367
2,5.698670613,-9.417071103,-3.718400491
2.25,5.065484989,-8.806549386,-3.741064397
2.5,4.55893649,-8.315725711,-3.756789221
3,3.799113742,-7.565658836,-3.766545094
4,2.849335306,-6.617481879,-3.768146572
