Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-o Electronic Energy (Hartree),AP1roGSDGeneralized_sen-o Total Energy (Hartree)
0.5,22.79468245,-23.79708487,-1.002402414
0.6,18.99556871,-21.54424113,-2.548672424
0.7,16.28191604,-19.6341512,-3.352235168
0.8,14.24667653,-18.00116497,-3.754488434
0.9,12.66371247,-16.62313712,-3.959424645
1,11.39734123,-15.4371825,-4.039841276
1.1,10.3612193,-14.3980064,-4.036787106
1.2,9.497784355,-13.53003504,-4.032250685
1.3,8.767185558,-12.71727514,-3.950089579
1.4,8.140958018,-12.03351776,-3.892559745
1.5,7.598227484,-11.4959915,-3.897764015
1.6,7.123338266,-10.91305569,-3.789717425
1.7,6.704318368,-10.47787645,-3.773558084
1.8,6.331856236,-10.05274221,-3.720885974
1.9,5.998600645,-9.72324489,-3.724644245
2,5.698670613,-9.41711826,-3.718447647
2.25,5.065484989,-8.806549405,-3.741064416
2.5,4.55893649,-8.31572562,-3.75678913
3,3.799113742,-7.565675007,-3.766561266
4,2.849335306,-6.617605695,-3.768270388
