Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDGeneralized_sen-ov Electronic Energy (Hartree),AP1roGSDGeneralized_sen-ov Total Energy (Hartree)
0.5,22.79468245,-23.7922654,-0.99758295
0.6,18.99556871,-21.53603633,-2.540467623
0.7,16.28191604,-19.62758446,-3.345668423
0.8,14.24667653,-18.00658567,-3.759909135
0.9,12.66371247,-16.62773009,-3.964017621
1,11.39734123,-15.43994236,-4.042601132
1.1,10.3612193,-14.3924933,-4.031274003
1.2,9.497784355,-13.52113533,-4.023350971
1.3,8.767185558,-12.720878,-3.953692443
1.4,8.140958018,-12.02342079,-3.882462777
1.5,7.598227484,-11.48872663,-3.890499151
1.6,7.123338266,-10.86401259,-3.740674326
1.7,6.704318368,-10.43119258,-3.726874208
1.8,6.331856236,-10.00231907,-3.670462831
1.9,5.998600645,-9.681049747,-3.682449102
2,5.698670613,-9.413641507,-3.714970894
2.25,5.065484989,-8.806121306,-3.740636317
2.5,4.55893649,-8.315510942,-3.756574451
3,3.799113742,-7.565665076,-3.766551334
4,2.849335306,-6.617592685,-3.768257379
