Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_free Electronic Energy (Hartree),AP1roGSDSpin_free Total Energy (Hartree)
0.5,22.79468245,-23.77644318,-0.981760734
0.6,18.99556871,-21.52082626,-2.52525755
0.7,16.28191604,-19.61057693,-3.328660893
0.8,14.24667653,-17.97907664,-3.73240011
0.9,12.66371247,-16.5984626,-3.934750132
1,11.39734123,-15.39580627,-3.998465046
1.1,10.3612193,-14.36556769,-4.004348395
1.2,9.497784355,-13.45127248,-3.95348813
1.3,8.767185558,-12.66115191,-3.893966354
1.4,8.140958018,-11.98426357,-3.843305552
1.5,7.598227484,-11.45092158,-3.852694098
1.6,7.123338266,-10.89040229,-3.767064023
1.7,6.704318368,-10.46583187,-3.761513501
1.8,6.331856236,-10.04433468,-3.712478446
1.9,5.998600645,-9.719521187,-3.720920542
2,5.698670613,-9.413983354,-3.715312742
2.25,5.065484989,-8.747335861,-3.681850872
2.5,4.55893649,-8.221517046,-3.662580556
3,3.799113742,-7.505474713,-3.706360971
4,2.849335306,-6.457302295,-3.607966988
