Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-o Electronic Energy (Hartree),AP1roGSDSpin_sen-o Total Energy (Hartree)
0.5,22.79468245,-23.77643676,-0.98175431
0.6,18.99556871,-21.52082555,-2.525256843
0.7,16.28191604,-19.61057673,-3.328660694
0.8,14.24667653,-17.97909237,-3.732415836
0.9,12.66371247,-16.59845146,-3.934738987
1,11.39734123,-15.3958252,-3.998483972
1.1,10.3612193,-14.36555962,-4.004340326
1.2,9.497784355,-13.45124915,-3.95346479
1.3,8.767185558,-12.66112013,-3.893934569
1.4,8.140958018,-11.98432878,-3.843370758
1.5,7.598227484,-11.45091317,-3.852685686
1.6,7.123338266,-10.89040725,-3.767068982
1.7,6.704318368,-10.46574514,-3.761426776
1.8,6.331856236,-10.04431529,-3.712459052
1.9,5.998600645,-9.71964121,-3.721040565
2,5.698670613,-9.413907305,-3.715236693
2.25,5.065484989,-8.747117546,-3.681632557
2.5,4.55893649,-8.222012337,-3.663075847
3,3.799113742,-7.505539239,-3.706425497
4,2.849335306,-6.457008431,-3.607673125
