Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-ov Electronic Energy (Hartree),AP1roGSDSpin_sen-ov Total Energy (Hartree)
0.5,22.79468245,-23.77643812,-0.981755671
0.6,18.99556871,-21.52082792,-2.525259211
0.7,16.28191604,-19.6105769,-3.328660859
0.8,14.24667653,-17.97908928,-3.732412746
0.9,12.66371247,-16.5984451,-3.934732626
1,11.39734123,-15.3958115,-3.998470271
1.1,10.3612193,-14.36556284,-4.004343543
1.2,9.497784355,-13.45056732,-3.952782964
1.3,8.767185558,-12.66139576,-3.894210202
1.4,8.140958018,-11.97519779,-3.834239769
1.5,7.598227484,-11.44481596,-3.846588472
1.6,7.123338266,-10.84793871,-3.724600445
1.7,6.704318368,-10.42295113,-3.718632764
1.8,6.331856236,-9.984874132,-3.653017896
1.9,5.998600645,-9.669942581,-3.671341936
2,5.698670613,-9.380628509,-3.681957896
2.25,5.065484989,-8.68926932,-3.623784331
2.5,4.55893649,-8.161678794,-3.602742303
3,3.799113742,-7.474473577,-3.675359835
4,2.849335306,-6.369648745,-3.520313439
