Distance (Bohr),Nuclear Repulsion Energy (Hartree),AP1roGSDSpin_sen-v Electronic Energy (Hartree),AP1roGSDSpin_sen-v Total Energy (Hartree)
0.5,22.79468245,-23.77644328,-0.981760832
0.6,18.99556871,-21.52082463,-2.525255922
0.7,16.28191604,-19.61057028,-3.328654241
0.8,14.24667653,-17.97909215,-3.732415623
0.9,12.66371247,-16.59844906,-3.934736584
1,11.39734123,-15.39581126,-3.998470038
1.1,10.3612193,-14.36554362,-4.004324325
1.2,9.497784355,-13.4505579,-3.952773543
1.3,8.767185558,-12.6614437,-3.894258138
1.4,8.140958018,-11.97501802,-3.834059999
1.5,7.598227484,-11.44483646,-3.846608976
1.6,7.123338266,-10.84797635,-3.72463808
1.7,6.704318368,-10.42318809,-3.718869719
1.8,6.331856236,-9.984976411,-3.653120175
1.9,5.998600645,-9.669639947,-3.671039302
2,5.698670613,-9.380603338,-3.681932726
2.25,5.065484989,-8.689328377,-3.623843388
2.5,4.55893649,-8.161933271,-3.602996781
3,3.799113742,-7.474600376,-3.675486634
4,2.849335306,-6.3692962,-3.519960893
