Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roD Electronic Energy (Hartree),APG1roD_free Total Energy (Hartree)
0.5,22.79468245,-23.77912306,-0.984440612
0.6,18.99556871,-21.52682984,-2.531261135
0.7,16.28191604,-19.61592034,-3.334004301
0.8,14.24667653,-17.99352869,-3.746852161
0.9,12.66371247,-16.60608605,-3.942373575
1,11.39734123,-15.40720301,-4.009861788
1.1,10.3612193,-14.38607821,-4.02485891
1.2,9.497784355,-13.46095158,-3.963167229
1.3,8.767185558,-12.69096048,-3.92377492
1.4,8.140958018,-11.99494829,-3.853990269
1.5,7.598227484,-11.35311089,-3.754883409
1.6,7.123338266,-10.79177457,-3.6684363
1.7,6.704318368,-10.32165392,-3.617335556
1.8,6.331856236,-9.878204606,-3.54634837
1.9,5.998600645,-9.45764239,-3.459041745
2,5.698670613,-9.074024839,-3.375354226
2.25,5.065484989,-8.299638068,-3.234153079
2.5,4.55893649,-7.743601733,-3.184665243
3,3.799113742,-6.839862336,-3.040748594
4,2.849335306,-5.852234972,-3.002899666
