Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_free Electronic Energy (Hartree),APG1roSD_free Total Energy (Hartree)
0.5,22.79468245,-23.79912391,-1.004441458
0.6,18.99556871,-21.54877052,-2.55320181
0.7,16.28191604,-19.63876753,-3.356851494
0.8,14.24667653,-18.0107108,-3.764034265
0.9,12.66371247,-16.63391706,-3.970204587
1,11.39734123,-15.43954279,-4.042201564
1.1,10.3612193,-14.42382184,-4.062602546
1.2,9.497784355,-13.54012751,-4.042343159
1.3,8.767185558,-12.76690018,-3.999714625
1.4,8.140958018,-12.05433303,-3.913375014
1.5,7.598227484,-11.51152431,-3.913296831
1.6,7.123338266,-11.00468667,-3.8813484
1.7,6.704318368,-10.56054436,-3.856225997
1.8,6.331856236,-10.16742734,-3.8355711
1.9,5.998600645,-9.817523166,-3.818922521
2,5.698670613,-9.504466414,-3.805795801
2.25,5.065484989,-8.850394518,-3.784909529
2.5,4.55893649,-8.33161581,-3.77267932
3,3.799113742,-7.568450557,-3.769336815
4,2.849335306,-6.617659649,-3.768324342
