Distance (Bohr),Nuclear Repulsion Energy (Hartree),APG1roSD_sen-ov Electronic Energy (Hartree),APG1roSD_sen-ov Total Energy (Hartree)
0.5,22.79468245,-23.79446848,-0.999786025
0.6,18.99556871,-21.5410004,-2.545431695
0.7,16.28191604,-19.63240033,-3.350484291
0.8,14.24667653,-18.02112494,-3.774448413
0.9,12.66371247,-16.63445174,-3.970739271
1,11.39734123,-15.45258116,-4.055239935
1.1,10.3612193,-14.41610263,-4.054883335
1.2,9.497784355,-13.53055683,-4.032772478
1.3,8.767185558,-12.75986314,-3.992677582
1.4,8.140958018,-12.07383033,-3.932872308
1.5,7.598227484,-11.49899452,-3.900767032
1.6,7.123338266,-10.91644932,-3.793111056
1.7,6.704318368,-10.48811132,-3.783792955
1.8,6.331856236,-10.06333838,-3.731482143
1.9,5.998600645,-9.724625311,-3.726024666
2,5.698670613,-9.428329672,-3.729659059
2.25,5.065484989,-8.806443707,-3.740958718
2.5,4.55893649,-8.315497508,-3.756561018
3,3.799113742,-7.565615775,-3.766502033
4,2.849335306,-6.59321685,-3.743881543
