Distance (Bohr),Nuclear Repulsion Energy (Hartree),APset1roGSD_sen-v Electronic Energy (Hartree),APset1roGSD_sen-v Total Energy (Hartree)
0.5,22.79468245,-23.77913486,-0.984452405
0.6,18.99556871,-21.5268343,-2.531265591
0.7,16.28191604,-19.61594289,-3.334026851
0.8,14.24667653,-17.99368437,-3.74700784
0.9,12.66371247,-16.60628851,-3.942576033
1,11.39734123,-15.40727822,-4.009936997
1.1,10.3612193,-14.38740828,-4.026188986
1.2,9.497784355,-13.46109782,-3.963313463
1.3,8.767185558,-12.6962138,-3.929028245
1.4,8.140958018,-12.01778005,-3.876822034
1.5,7.598227484,-11.45311723,-3.854889742
1.6,7.123338266,-10.89187448,-3.768536215
1.7,6.704318368,-10.46959799,-3.765279627
1.8,6.331856236,-10.05353829,-3.721682049
1.9,5.998600645,-9.716597329,-3.717996684
2,5.698670613,-9.425210058,-3.726539446
2.25,5.065484989,-8.744575126,-3.679090137
2.5,4.55893649,-8.224729435,-3.665792945
3,3.799113742,-7.506590261,-3.707476519
4,2.849335306,-6.458287706,-3.6089524
