Distance (Bohr),Nuclear Repulsion Energy (Hartree),HF Electronic Energy (Hartree),HF Total Energy (Hartree)
0.5,22.79468245,-23.75134061,-0.956658155
0.6,18.99556871,-21.49273162,-2.497162915
0.7,16.28191604,-19.574124,-3.292207961
0.8,14.24667653,-17.94160265,-3.694926119
0.9,12.66371247,-16.54534606,-3.881633585
1,11.39734123,-15.34279503,-3.945453802
1.1,10.3612193,-14.29894355,-3.937724259
1.2,9.497784355,-13.38558861,-3.887804255
1.3,8.767185558,-12.58025198,-3.813066423
1.4,8.140958018,-11.86511294,-3.724154925
1.5,7.598227484,-11.22607679,-3.627849306
1.6,7.123338266,-10.65199424,-3.528655978
1.7,6.704318368,-10.13401421,-3.429695845
1.8,6.331856236,-9.665052557,-3.333196321
1.9,5.998600645,-9.239364065,-3.24076342
2,5.698670613,-8.852205577,-3.153534964
2.25,5.065484989,-8.027952499,-2.96246751
2.5,4.55893649,-7.371057947,-2.812121457
3,3.799113742,-6.415538976,-2.616425234
4,2.849335306,-5.305677169,-2.456341863
